Sr No,date,startup,vertical,subvertical,city,investors,round,amount,day,month,year
924,2017-04-29 ,Qriyo                                                  ,consumer internet                                          ,Tutor Discovery & Booking platform                                                                    ,Jaipur                 ,Nb ventures                                                                                                                                                                         ,Private Equity              ,0.0,29,4,2017
925,2017-03-01 ,Ola                                                    ,consumer internet                                          ,App based cab aggregator                                                                              ,Bengaluru              ,Softbank group corp                                                                                                                                                                 ,Private Equity              ,2722.5,1,3,2017
926,2017-03-01 ,Belong                                                 ,consumer internet                                          ,Online Jon Portal                                                                                     ,Bengaluru              ,Sequoia capital india                                                                                                                                                               ,Private Equity              ,82.5,1,3,2017
927,2017-03-01 ,Seenit                                                 ,consumer internet                                          ,AI based Fashion Search Portal                                                                        ,Kolkata                ,"Calcutta angels network (can), Augment ventures                                                                                                                                   ",Seed Funding                ,0.0,1,3,2017
928,2017-03-01 ,Paalak                                                 ,E-Commerce                                                 ,Fresh Produce Selling portal                                                                          ,New Delhi              ,"Vishwadeep bajaj, Harsh kundra, Nandkumar rane, Ln buddharaju, Anupam tyagi                                                                                                       ",Seed Funding                ,0.0,1,3,2017
929,2017-03-02 ,Celes Care                                             ,consumer internet                                          ,Women Healthcare & Information portal                                                                 ,Hyderabad              ,"Ventureast, Endiya partners, Eight roads ventures, F-prime capital partners                                                                                                       ",Private Equity              ,12.375,2,3,2017
930,2017-03-02 ,Karomi                                                 ,technology                                                 ,Packaging Artwork Management software                                                                 ,Chennai                ,Ideaspring capital                                                                                                                                                                  ,Seed Funding                ,4.125,2,3,2017
931,2017-03-02 ,Red Carpet                                             ,consumer internet                                          ,Micro Lending platform                                                                                ,Gurugram               ,Lightspeed venture partners                                                                                                                                                         ,Private Equity              ,20.625,2,3,2017
932,2017-03-02 ,Kreate Konnect                                         ,technology                                                 ,End-to-End Seller e-commerce solutions Provider                                                       ,Vadodara               ,Langoor                                                                                                                                                                             ,Seed Funding                ,0.0,2,3,2017
933,2017-03-02 ,CreditMantri                                           ,consumer internet                                          ,Online Credit score & lending platform                                                                ,Chennai                ,Quona capital                                                                                                                                                                       ,Private Equity              ,62.7,2,3,2017
934,2017-03-03 ,Lets Endorse                                           ,consumer internet                                          ,Online Ecosystem of social innovators                                                                 ,Bengaluru              ,"Chandigarh angels network, Social alpha and other unnamed angel investors                                                                                                         ",Seed Funding                ,0.0,3,3,2017
935,2017-03-03 ,Tydy                                                   ,technology                                                 ,Employee Onboarding and Engagement platform                                                           ,Bengaluru              ,"Bhupen shah, Jayesh parekh, Sanjay sathe                                                                                                                                          ",Seed Funding                ,2.26875,3,3,2017
936,2017-03-03 ,Nactus                                                 ,consumer internet                                          ,Professional Tutors discovery & booking mobile app                                                    ,Jaipur                 ,"Sandeep aggarwal, Gautam chhaochharia, R balachandar                                                                                                                              ",Seed Funding                ,0.0,3,3,2017
937,2017-03-03 ,Oho Shop                                               ,technology                                                 ,eCommerce Mobile App Builder                                                                          ,Ahmedabad              ,"Bennett, Coleman and company ltd                                                                                                                                                  ",Private Equity              ,55.275,3,3,2017
938,2017-03-03 ,Emojifi                                                ,consumer internet                                          ,Mobile App for live emoji                                                                             ,Hyderabad              ,Undisclosed angel investors                                                                                                                                                         ,Seed Funding                ,0.0,3,3,2017
939,2017-03-03 ,Paytm Marketplace                                      ,E-Commerce                                                 ,ECommerce Marketplace                                                                                 ,Bengaluru              ,Alibaba                                                                                                                                                                             ,Private Equity              ,1650.0,3,3,2017
940,2017-03-04 ,iGenetics                                              ,healthcare                                                 ,Health Diagnostic Solutions                                                                           ,Mumbai                 ,Cdc group plc                                                                                                                                                                       ,Private Equity              ,160.875,4,3,2017
941,2017-03-06 ,Juno Clinic                                            ,consumer internet                                          ,Online Counseling Platform                                                                            ,Mumbai                 ,Atul nishar                                                                                                                                                                         ,Seed Funding                ,9.9,6,3,2017
942,2017-03-06 ,Summerlabel                                            ,consumer internet                                          ,Fashion and Lifestyle discovery platform                                                              ,Gurugram               ,"Aneesh seth, Tushar mittal                                                                                                                                                        ",Seed Funding                ,1.2375,6,3,2017
943,2017-03-06 ,PickMe                                                 ,consumer internet                                          ,Gadget Insurance & Repair Services platform                                                           ,Mumbai                 ,Sidbi venture capital fund                                                                                                                                                          ,Private Equity              ,14.7675,6,3,2017
944,2017-03-07 ,Agrostar                                               ,technology                                                 ,Direct-to-Farmer Mobile-Based Retail platform                                                         ,Pune                   ,Accel partners                                                                                                                                                                      ,Private Equity              ,82.5,7,3,2017
945,2017-03-07 ,Zapr                                                   ,technology                                                 ,"DSP, TV Analytics & Cross-Platform advertising                                                      ",Bengaluru              ,Star india pvt ltd                                                                                                                                                                  ,Private Equity              ,82.5,7,3,2017
946,2017-03-07 ,Data Resolve                                           ,technology                                                 ,Cyber Security Solutions                                                                              ,Noida                  ,Idfc parampara early stage opportunities fund                                                                                                                                       ,Private Equity              ,8.25,7,3,2017
947,2017-03-07 ,Book Servicing                                         ,consumer internet                                          ,Online Vehicle Services Booking platform                                                              ,New Delhi              ,National science and technology entrepreneurship development board                                                                                                                  ,Seed Funding                ,0.2475,7,3,2017
948,2017-03-07 ,Blowhorn                                               ,consumer internet                                          ,Intra-City Logistics provider                                                                         ,Bengaluru              ,"Idg ventures india, Michael & susan dell foundation, Draper associates, Unitus seed fund                                                                                          ",Private Equity              ,30.1125,7,3,2017
949,2017-03-08 ,Rivigo                                                 ,logistics                                                  ,Technology Enabled Logistics Company                                                                  ,Gurugram               ,Private sector banks (debt funding)                                                                                                                                                 ,Private Equity              ,123.75,8,3,2017
950,2017-03-08 ,PipeCandy                                              ,technology                                                 ,Intelligent Sales Prospecting Platform                                                                ,Chennai                ,"Idg ventures, Axilor ventures, Emergent ventures, Indian angel network                                                                                                            ",Seed Funding                ,9.075,8,3,2017
951,2017-03-08 ,Supr Daily                                             ,consumer internet                                          ,Subscription based Home Delivery Platform                                                             ,Mumbai                 ,Y combinator                                                                                                                                                                        ,Seed Funding                ,0.99,8,3,2017
952,2017-03-08 ,Parentune                                              ,consumer internet                                          ,Online Community for Parents                                                                          ,Gurugram               ,"Kae capital, Segnel ventures                                                                                                                                                      ",Private Equity              ,0.0,8,3,2017
953,2017-03-09 ,AppBrowzer                                             ,consumer internet                                          ,Instant Mobile Apps Store                                                                             ,Bengaluru              ,Deepak gurnani                                                                                                                                                                      ,Seed Funding                ,4.125,9,3,2017
954,2017-03-09 ,MagicBricks                                            ,consumer internet                                          ,Online Real Estate Portal                                                                             ,Mumbai                 ,Times internet ltd                                                                                                                                                                  ,Private Equity              ,37.125,9,3,2017
955,2017-03-10 ,PeeBuddy                                               ,healthcare                                                 ,Female Hygiene product manufacturer                                                                   ,New Delhi              ,Indian angel network                                                                                                                                                                ,Seed Funding                ,3.65475,10,3,2017
956,2017-03-10 ,iOrderFresh                                            ,E-Commerce                                                 ,Online fresh fruits and grocery store                                                                 ,New Delhi              ,Singapore angel network                                                                                                                                                             ,Seed Funding                ,0.0,10,3,2017
957,2017-03-10 ,Lavelle Networks                                       ,technology                                                 ,SDN Solutions                                                                                         ,Bengaluru              ,Ideaspring capital                                                                                                                                                                  ,Seed Funding                ,4.95,10,3,2017
958,2017-03-10 ,PropertyShare                                          ,consumer internet                                          ,Fractional Proerty Ownership & Rental platform                                                        ,Bengaluru              ,"Asuka, Pravega ventures, Beenext                                                                                                                                                  ",Seed Funding                ,0.0,10,3,2017
959,2017-03-14 ,MyDermacy                                              ,consumer internet                                          ,Online Dermatology consultation platform                                                              ,New Delhi              ,Cyber carrier                                                                                                                                                                       ,Private Equity              ,0.0,14,3,2017
960,2017-03-15 ,LatestOne                                              ,E-Commerce                                                 ,Tech Accessories e-tailer                                                                             ,Hyderabad              ,"Florintree, Mathew cyriac, Chidambaram palaniappan, Bharat sheth                                                                                                                  ",Private Equity              ,27.6375,15,3,2017
961,2017-03-15 ,Frapperz                                               ,consumer internet                                          ,On-demand home services provider                                                                      ,Kolkata                ,Undisclosed investor                                                                                                                                                                ,Seed Funding                ,0.825,15,3,2017
962,2017-03-16 ,mPaani                                                 ,consumer internet                                          ,Loyalty rewards app                                                                                   ,Mumbai                 ,"Idg ventures, Blume ventures, Saha fund,                                                                                                                                          ",Private Equity              ,11.1375,16,3,2017
963,2017-03-16 ,ShilpMIS                                               ,technology                                                 ,Virtual Reality platform                                                                              ,Surat                  ,"Puneet gupta, Nimitt desai & others                                                                                                                                               ",Seed Funding                ,0.0,16,3,2017
964,2017-03-16 ,POPxo                                                  ,consumer internet                                          ,Digital Media publication for women                                                                   ,New Delhi              ,"Gree ventures, Kalaari capital and idg ventures india, Summit media, Atul goel, And gurpreet singh                                                                                ",Private Equity              ,25.575,16,3,2017
965,2017-03-16 ,Fitso                                                  ,consumer internet                                          ,Fitness Mobile App                                                                                    ,Gurugram               ,"Sujeet kumar, Bhupender singh, Yashish dhaiya                                                                                                                                     ",Seed Funding                ,1.65,16,3,2017
966,2017-03-17 ,FarMart                                                ,technology                                                 ,Farming rental equipment provider                                                                     ,Gurugram               ,Indian angel network                                                                                                                                                                ,Seed Funding                ,0.0,17,3,2017
967,2017-03-21 ,Flipkart                                               ,E-Commerce                                                 ,ECommerce Marketplace                                                                                 ,Bengaluru              ,"Microsoft, Ebay, Tencent holdings                                                                                                                                                 ",Private Equity              ,11550.0,21,3,2017
968,2017-03-21 ,Airpay                                                 ,technology                                                 ,Online payment Gateway                                                                                ,Mumbai                 ,"Kalaari capital, Rakesh and rajesh jhunjhunwala                                                                                                                                   ",Private Equity              ,30.2775,21,3,2017
969,2017-03-21 ,MyGlamm                                                ,consumer internet                                          ,On-Demand Beauty Services                                                                             ,Mumbai                 ,L'occitane                                                                                                                                                                          ,Private Equity              ,43.725,21,3,2017
970,2017-03-22 ,The Mons Co.                                           ,E-Commerce                                                 ,Pregnancy & Baby Care etailer                                                                         ,New Delhi              ,"Shripad nadkarni, Nandu nandkishore                                                                                                                                               ",Seed Funding                ,0.0,22,3,2017
971,2017-03-22 ,Haqdarshak                                             ,consumer internet                                          ,Tech-Enabled Social Enterprise                                                                        ,Bengaluru              ,"Ravi saxena, Sandeep raju,                                                                                                                                                        ",Seed Funding                ,1.57575,22,3,2017
972,2017-03-23 ,Ixigo                                                  ,consumer internet                                          ,Online Travel Search Engine                                                                           ,Gurugram               ,"Sequoia capital, Kinzon capital                                                                                                                                                   ",Private Equity              ,123.75,23,3,2017
973,2017-03-23 ,Markets and Markets                                    ,technology                                                 ,Marketing Research Company                                                                            ,Pune                   ,"Ftv capital, Zodius capital                                                                                                                                                       ",Private Equity              ,462.0,23,3,2017
974,2017-03-24 ,Bizom                                                  ,technology                                                 ,supply chain automation platform                                                                      ,Bengaluru              ,Ojas ventures                                                                                                                                                                       ,Seed Funding                ,3.1515,24,3,2017
975,2017-03-24 ,BabyonBoard                                            ,consumer internet                                          ,Parenting Mobile App                                                                                  ,Bengaluru              ,"Mahavir sharma, Vishal jain, Rohit sethi, Gaurav luniya                                                                                                                           ",Seed Funding                ,0.0,24,3,2017
976,2017-03-24 ,Delhivery                                              ,technology                                                 ,Tech enabled Fulfilment & Logistics Solutions                                                         ,New Delhi              ,"Carlyle group, Tiger global                                                                                                                                                       ",Private Equity              ,825.0,24,3,2017
977,2017-03-27 ,Sport Flashes                                          ,consumer internet                                          ,Sports Based Online Media portal                                                                      ,New Delhi              ,"Vikas bajaj, Amit kharbanda,                                                                                                                                                      ",Seed Funding                ,0.0,27,3,2017
978,2017-03-28 ,Fynd                                                   ,E-Commerce                                                 ,Online fashion marketplace                                                                            ,Mumbai                 ,Venture catalysts                                                                                                                                                                   ,Private Equity              ,4.125,28,3,2017
979,2017-03-28 ,Wigzo                                                  ,technology                                                 ,Enterprise Automation suite                                                                           ,New Delhi              ,3one4 capital                                                                                                                                                                       ,Private Equity              ,0.0,28,3,2017
980,2017-03-28 ,DoneThing                                              ,consumer internet                                          ,On-demand Personal Assistant service                                                                  ,Gurugram               ,Brand capital                                                                                                                                                                       ,Private Equity              ,2.475,28,3,2017
981,2017-03-29 ,Zapyle                                                 ,E-Commerce                                                 ,Luxury Fashion Marketplace                                                                            ,Bengaluru              ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,0.0,29,3,2017
982,2017-03-29 ,Ithaka                                                 ,consumer internet                                          ,Vacation Trip Planning platform                                                                       ,Mumbai                 ,"Ankit gupta, Puneet motihar                                                                                                                                                       ",Seed Funding                ,2.68125,29,3,2017
983,2017-03-29 ,perpule                                                ,E-Commerce                                                 ,Self-Checkout ECommerce App                                                                           ,Bengaluru              ,Kstart capital                                                                                                                                                                      ,Seed Funding                ,5.3625,29,3,2017
984,2017-03-29 ,BYJU'S                                                 ,consumer internet                                          ,Online Education Platform                                                                             ,Bengaluru              ,Verlinvest                                                                                                                                                                          ,Private Equity              ,0.0,29,3,2017
985,2017-03-29 ,Licious                                                ,E-Commerce                                                 ,Online Meat Ordering platform                                                                         ,Bengaluru              ,"Mayfield india, 3one4 capital, Sistema asia fund, Neoplux technology fund                                                                                                         ",Private Equity              ,82.5,29,3,2017
986,2017-03-29 ,Medinfi                                                ,consumer internet                                          ,Doctor & Hospital search Platform                                                                     ,Bengaluru              ,"Vinod martin, Hemant kaul, Prof. ram kumar kakani & others                                                                                                                        ",Seed Funding                ,0.4125,29,3,2017
987,2017-03-30 ,Indus OS                                               ,technology                                                 ,Mobile OS creator                                                                                     ,Mumbai                 ,"Jsw ventures, Ventureast                                                                                                                                                          ",Private Equity              ,0.0,30,3,2017
988,2017-03-30 ,Emflux Motors                                          ,technology                                                 ,Electric Motorcycle manufacturer                                                                      ,Bengaluru              ,"Meher roy, Nikhil arora, Meet kanodia, Krit sankalp, Nitish singh, Risabh gupta                                                                                                   ",Seed Funding                ,0.0,30,3,2017
989,2017-03-30 ,Klinic App                                             ,consumer internet                                          ,Pathology & Diagnostic Tests Portal                                                                   ,Gurugram               ,Om chaudhry                                                                                                                                                                         ,Seed Funding                ,0.0,30,3,2017
990,2017-03-31 ,Jhakaas                                                ,consumer internet                                          ,Offline Business Aggregator App                                                                       ,Mumbai                 ,"Malini patel, Stelcore management services, Anjani prasad                                                                                                                         ",Seed Funding                ,1.27875,31,3,2017
991,2017-03-31 ,Oriano Solar                                           ,technology                                                 ,Turnkey Solar Solutions                                                                               ,Mumbai                 ,Samridhi fund                                                                                                                                                                       ,Private Equity              ,24.75,31,3,2017
992,2017-03-31 ,BigBasket                                              ,E-Commerce                                                 ,Online Grocer                                                                                         ,Bengaluru              ,Trifecta capital                                                                                                                                                                    ,Private Equity              ,57.75,31,3,2017
993,2017-03-31 ,Rooter                                                 ,consumer internet                                          ,Sports engagement platform                                                                            ,New Delhi              ,Intex technologies                                                                                                                                                                  ,Private Equity              ,0.0,31,3,2017
994,2017-03-31 ,FalconBrick                                            ,technology                                                 ,Real-Estate Workflow mobile app                                                                       ,Bengaluru              ,"Satveer thakral, Letsventure, Mumbai angels                                                                                                                                       ",Seed Funding                ,0.0,31,3,2017
995,2017-03-31 ,Icertis                                                ,technology                                                 ,ERP solutions provider                                                                                ,Pune                   ,"B capital group, Ignition partners, Greycroft, E.ventures, \\xc2\\xa0 eight roads ventures                                                                                        ",Private Equity              ,206.25,31,3,2017
996,2017-02-02 ,Clodura                                                ,technology                                                 ,Intelligent Sales Assistant                                                                           ,Pune                   ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,0.0,2,2,2017
997,2017-02-03 ,Stockroom.io                                           ,consumer internet                                          ,Curated Platform for Developers                                                                       ,Hyderabad              ,"Satya d sinha, Gyanendra singh                                                                                                                                                    ",Seed Funding                ,0.0,3,2,2017
998,2017-02-06 ,Capital Float                                          ,consumer internet                                          ,Online lending platform                                                                               ,Bengaluru              ,Ifmr capital finance                                                                                                                                                                ,Private Equity              ,20.625,6,2,2017
999,2017-02-06 ,iManageMyHotel                                         ,technology                                                 ,Hotel Management Solution                                                                             ,Kolkata                ,Jaarvis accelerator                                                                                                                                                                 ,Seed Funding                ,0.0,6,2,2017
1000,2017-02-07 ,Inner Hour                                             ,consumer internet                                          ,Online Counselling Platform                                                                           ,Mumbai                 ,"Batlivala & karani securities, Venture works                                                                                                                                      ",Seed Funding                ,3.7125,7,2,2017
1001,2017-02-07 ,Travel Triangle                                        ,consumer internet                                          ,Online travel agent marketplace                                                                       ,Noida                  ,"Rb investments, Saif partners, Bessemer venture partners                                                                                                                          ",Private Equity              ,82.5,7,2,2017
1002,2017-02-08 ,Wandertrails                                           ,consumer internet                                          ,"Online Travel, Adventure & Activities Portal                                                        ",Bengaluru              ,Earlsfield capital                                                                                                                                                                  ,Seed Funding                ,8.25,8,2,2017
1003,2017-02-08 ,Zenatix                                                ,technology                                                 ,IoT Based Energy Monitoring & Control                                                                 ,Gurugram               ,"Pi ventures, Blume ventures                                                                                                                                                       ",Private Equity              ,9.9,8,2,2017
1004,2017-02-08 ,Cartrade                                               ,consumer internet                                          ,Automobile Classifieds Portal                                                                         ,Mumbai                 ,Temasek holdings                                                                                                                                                                    ,Private Equity              ,453.75,8,2,2017
1005,2017-02-08 ,MindYourFleet                                          ,technology                                                 ,Car Rental Software Solutions                                                                         ,Noida                  ,"Japan vyas, Tarun adlakha                                                                                                                                                         ",Seed Funding                ,0.0,8,2,2017
1006,2017-02-08 ,Edurev                                                 ,consumer internet                                          ,Online Education Portal                                                                               ,Gurugram               ,Facebook fb start programme                                                                                                                                                         ,Seed Funding                ,0.33,8,2,2017
1007,2017-02-09 ,Voonik                                                 ,E-Commerce                                                 ,Women Apparel & Lifestyle etailer                                                                     ,Bengaluru              ,"Rb investments, Sequoia capital                                                                                                                                                   ",Private Equity              ,49.5,9,2,2017
1008,2017-02-09 ,1Crowd                                                 ,finance                                                    ,Startup Crowd-funding platform                                                                        ,Mumbai                 ,Ganesh natarajan                                                                                                                                                                    ,Seed Funding                ,0.0,9,2,2017
1009,2017-02-09 ,Wooplr                                                 ,E-Commerce                                                 ,Women Fashion Portal                                                                                  ,Bengaluru              ,"Sistema asia fund, Amereus group, Helion ventures                                                                                                                                 ",Private Equity              ,66.0,9,2,2017
1010,2017-02-10 ,48East                                                 ,E-Commerce                                                 ,Online Food Delivery                                                                                  ,Bengaluru              ,Al dhaheri family                                                                                                                                                                   ,Private Equity              ,4.125,10,2,2017
1011,2017-02-10 ,Redesyn                                                ,consumer internet                                          ,Tech Enabler for Artists                                                                              ,Mumbai                 ,Thinqbate                                                                                                                                                                           ,Seed Funding                ,0.0,10,2,2017
1012,2017-02-13 ,Sigtuple                                               ,technology                                                 ,Medical Automation platform                                                                           ,Bengaluru              ,"Accel partners, Idg ventures, Endiya partners, Pi ventures, Vh capital, Axilor partners                                                                                           ",Private Equity              ,47.85,13,2,2017
1013,2017-02-13 ,Flutura                                                ,technology                                                 ,Decision Sciences Analytics Solutions                                                                 ,Bengaluru              ,"Vertex ventures, Lumis partners                                                                                                                                                   ",Private Equity              ,61.875,13,2,2017
1014,2017-02-13 ,Wassup                                                 ,consumer internet                                          ,On Demand Laundry & Dry Cleaning Services                                                             ,Chennai                ,Anil jain & other hnis                                                                                                                                                              ,Private Equity              ,26.4,13,2,2017
1015,2017-02-13 ,Better Mortgage                                        ,consumer internet                                          ,Mortgage Offering Platform                                                                            ,Gurugram               ,"Kleiner perkins, Goldman sachs, Pine brook                                                                                                                                        ",Private Equity              ,123.75,13,2,2017
1016,2017-02-13 ,Nurturey                                               ,consumer internet                                          ,Parenting Mobile App                                                                                  ,New Delhi              ,Mohit joshi & others                                                                                                                                                                ,Seed Funding                ,2.7225,13,2,2017
